タブ,,,,,,,,ID,項目名,表示条件,値,選択要素,規定値,最小値,最大値,型,小数点以下,単位,備考
,,,,,,,,,,,4,真南から東へ75度以上105度未満,,,,,,,
,,,,,,,,,,,5,真南から東へ105度以上135度未満,,,,,,,
,,,,,,,,,,,6,真南から東へ135度以上165度未満,,,,,,,
,,,,,,,,,,,7,真南から東および西へ165度以上真北まで,,,,,,,
,,,,,,,,,,,8,真南から西へ135度以上165度未満,,,,,,,
,,,,,,,,,,,9,真南から西へ105度以上135度未満,,,,,,,
,,,,,,,,,,,10,真南から西へ75度以上105度未満,,,,,,,
,,,,,,,,,,,11,真南から西へ45度以上75度未満,,,,,,,
,,,,,,,,,,,12,真南から西へ15度以上45度未満,,,,,,,
,,,○,,,,,sw_sr{x}_slope,集熱部の設置傾斜角,「太陽熱給湯設備の種類」=1 or 2,1,0度（水平）,4,1,10,short,,,
,,,,,,,,,,,2,10度,,,,,,,
,,,,,,,,,,,3,20度,,,,,,,
,,,,,,,,,,,4,30度,,,,,,,
,,,,,,,,,,,5,40度,,,,,,,
,,,,,,,,,,,6,50度,,,,,,,
,,,,,,,,,,,7,60度,,,,,,,
,,,,,,,,,,,8,70度,,,,,,,
,,,,,,,,,,,9,80度,,,,,,,
,,,,,,,,,,,10,90度（鉛直）,,,,,,,
,,,○,,,,,sw_sr2_tankyouryo,貯湯タンクの容量,「太陽熱給湯装置の種類」=2,1,100L以上150L未満,-,0,1000,short,,,選択要素削除→自由入力
,,,,,,,,,,,2,150L以上200L未満,,,,,,,
,,,,,,,,,,,3,200L以上300L未満,,,,,,,
,,,,,,,,,,,4,300L以上400L未満,,,,,,,
,,,,,,,,,,,5,400L以上,,,,,,,
給湯,○,,,,,,,hw_setti,給湯設備・浴室等の有無,,1,給湯設備がある（浴室等がある）,1,1,3,short,,,
,,,,,,,,,,,2,給湯設備がある（浴室等がない）,,,,,,,
,,,,,,,,,,,3,給湯設備がない,,,,,,,
,,○,,,,,,hw_shurui,熱源機の分類,「給湯設備の有無」=1 or 2,11,給湯専用型,11,6,12,short,,,
,,,,,,,,,,,12,給湯・温水暖房一体型,,,,,,,
,,,,,,,,,,,6,コージェネレーションを使用する,,,,,,,
,,,,,,,,,,,8,その他の給湯設備機器,,,,,,,
,,,,,,,,,,,7,給湯設備機器を設置しない,,,,,,,
,,,○,,,,,hw_shurui_senyo,熱源機(給湯専用型)の種類,「熱源機の分類」=11,1,ガス従来型給湯機,1,1,9,short,,,
,,,,,,,,,,,7,ガス潜熱回収型給湯機,,,,,,,
,,,,,,,,,,,2,石油従来型給湯機,,,,,,,
,,,,,,,,,,,8,石油潜熱回収型給湯機,,,,,,,
,,,,,,,,,,,3,電気ヒーター給湯機,,,,,,,
,,,,,,,,,,,4,電気ヒートポンプ給湯機（CO2冷媒）(太陽熱利用給湯設備を使用しないもの),,,,,,,
,,,,,,,,,,,5,電気ヒートポンプ・ガス併用型給湯,,,,,,,
,,,,,,,,,,,9,電気ヒートポンプ・ガス併用型給湯機,,,,,,,
,,,,○,,,,hw_senyo_sr1_taisaku,効率の入力(ガス従来型),「熱源機(給湯専用型)の種類」=1,1,入力しない,1,1,3,short,,,
,,,,,,,,,,,2,効率（エネルギー消費効率）を入力することにより省エネルギー効果を評価する,,,,,,,
,,,,,,,,,,,3,効率（モード熱効率）を入力することにより省エネルギー効果を評価する,,,,,,,
,,,,,○,,,hw_senyo_sr1_e,エネルギー消費効率,「効率の入力(ガス従来型)」=2,,,70.4,0,100,decimal,1,%,
,,,,,○,,,hw_senyo_sr1_emode,モード熱効率,「効率の入力(ガス従来型)」=3,,,70.4,0,100,decimal,1,%,
,,,,○,,,,hw_senyo_sr7_taisaku,効率の入力(ガス潜熱回収型),「熱源機(給湯専用型)の種類」=7,1,入力しない,1,1,3,short,,,
,,,,,,,,,,,2,効率（エネルギー消費効率）を入力することにより省エネルギー効果を評価する,,,,,,,
,,,,,,,,,,,3,効率（モード熱効率）を入力することにより省エネルギー効果を評価する,,,,,,,
,,,,,○,,,hw_senyo_sr7_e,エネルギー消費効率,「効率の入力(ガス潜熱回収型)」=2,,,70.4,0,100,decimal,1,%,
,,,,,○,,,hw_senyo_sr7_emode,モード熱効率,「効率の入力(ガス潜熱回収型)」=3,,,83.6,0,100,decimal,1,%,
,,,,○,,,,hw_senyo_sr2_taisaku,効率の入力(石油従来型),「熱源機(給湯専用型)の種類」=2,1,入力しない,1,1,3,short,,,
,,,,,,,,,,,2,効率（熱効率）を入力することにより省エネルギー効果を評価する,,,,,,,
,,,,,,,,,,,3,効率（モード熱効率）を入力することにより省エネルギー効果を評価する,,,,,,,
,,,,,○,,,hw_senyo_sr2_e,熱効率,「効率の入力(石油従来型)」=2,,,77.9,0,100,decimal,1,%,
,,,,,○,,,hw_senyo_sr2_emode,モード熱効率,「効率の入力(石油従来型)」=3,,,77.9,0,100,decimal,1,%,
,,,,○,,,,hw_senyo_sr8_taisaku,効率の入力(石油潜熱回収型),「熱源機(給湯専用型)の種類」=8,1,入力しない,,1,3,short,,,
,,,,,,,,,,,2,効率（熱効率）を入力することにより省エネルギー効果を評価する,,,,,,,
,,,,,,,,,,,3,効率（モード熱効率）を入力することにより省エネルギー効果を評価する,,,,,,,
,,,,,○,,,hw_senyo_sr8_e,熱効率,「効率の入力(石油潜熱回収型)」=2,,,77.9,0,100,decimal,1,%,
,,,,,○,,,hw_senyo_sr8_emode,モード熱効率,「効率の入力(石油潜熱回収型)」=3,,,81.9,0,100,decimal,1,%,
,,,,○,,,,hw_senyo_sr4_taisaku,効率の入力(電気ヒートポンプ),「熱源機(給湯専用型)の種類」=4,1,入力しない,1,1,3,short,,,
,,,,,,,,,,,2,JIS効率を入力することにより省エネルギー効果を評価する,,,,,,,
,,,,,,,,,,,3,M1スタンダードに基づくJIS相当効率を入力することにより省エネルギー効果を評価する(認定機種のみ),,,,,,,
,,,,,○,,,hw_senyo_sr4_e,JIS効率,"「効率の入力(電気ヒートポンプ)」=2",,,2.7,0.0,5.0,decimal,1,-,
,,,,,○,,,hw_senyo_sr4_m1see,M1スタンダードに基づくJIS相当効率,"「効率の入力(電気ヒートポンプ)」=3",,,3.60,0.00,5.00,decimal,2,-,
,,,,,○,,,hw_senyo_sr4_name,機種名,「省エネルギー対策の有無および種類」=3,,,,,,,,,
,,,,○,,,,hw_senyo_sr9_package_input,電気ヒートポンプ・ガス併用型給湯機の指定,「熱源機(給湯専用型)の種類」=9,1,電気ヒートポンプ・ガス併用型給湯機の品番を入力する,-,1,2,short,,,
,,,,,,,,,,,2,電気ヒートポンプ・ガス併用型給湯機の品番を入力しない,,,,,,,
,,,,,○,,,hw_senyo_sr9_package_id,電気ヒートポンプ・ガス併用型給湯機のパッケージID,「電気ヒートポンプ・ガス併用型給湯機の指定」=1,,,,,,short,,,
,,,,,○,,,hw_senyo_sr9_coolant_type,冷媒の種類,「電気ヒートポンプ・ガス併用型給湯機の指定」=2,1,フロン系冷媒,,1,2,short,,,
,,,,,,,,,,,2,プロパン系冷媒,,,,,,,
,,,,,,○,,hw_senyo_sr9_tank,タンク容量,「冷媒の種類」=1,1,タンク容量(小),,1,2,short,,,
,,,,,,,,,,,2,タンク容量(大),,,,,,,
,,,○,,,,,hw_shurui_ittai,熱源機（給湯・温水暖房一体型）の種類,「熱源機の分類」=12,1,ガス従来型給湯温水暖房機,,1,6,short,,,
,,,,,,,,,,,2,ガス潜熱回収型給湯温水暖房機,,,,,,,
,,,,,,,,,,,3,石油従来型給湯温水暖房機,,,,,,,
,,,,,,,,,,,4,石油潜熱回収型給湯温水暖房機,,,,,,,
,,,,,,,,,,,5,電気ヒーター給湯温水暖房機,,,,,,,
,,,,,,,,,,,6,電気ヒートポンプ・ガス併用型給湯温水暖房機,,,,,,,
,,,,○,,,,hw_ittai_sr1_taisaku,効率の入力(ガス従来型),「熱源機（給湯・温水暖房一体型）の種類」=1,1,入力しない,,1,3,short,,,
,,,,,,,,,,,2,効率（暖房部：熱効率　給湯部：エネルギー消費効率）を入力することにより省エネルギー効果を評価する,,,,,,,
,,,,,,,,,,,3,効率（暖房部：熱効率　給湯部：モード熱効率）を入力することにより省エネルギー効果を評価する,,,,,,,
,,,,,○,,,hw_ittai_sr1_heater_e,暖房部熱効率,「効率の入力(ガス従来型)」=2 or 3 ,,,81.0,0,100,decimal,1,%,
,,,,,○,,,hw_ittai_sr1_hotwater_e,給湯部 エネルギー消費効率,「効率の入力(ガス従来型)」=2,,,70.4,0,100,decimal,1,%,
,,,,,○,,,hw_ittai_sr1_hotwater_emode,給湯部 モード熱効率,「効率の入力(ガス従来型)」=3,,,70.4,0,100,decimal,1,%,
,,,,○,,,,hw_ittai_sr2_taisaku,効率の入力(ガス潜熱回収型),「熱源機（給湯・温水暖房一体型）の種類」=2,1,入力しない,,1,3,short,,,
,,,,,,,,,,,2,効率（暖房部：熱効率　給湯部：エネルギー消費効率）を入力することにより省エネルギー効果を評価する,,,,,,,
,,,,,,,,,,,3,効率（暖房部：熱効率　給湯部：モード熱効率）を入力することにより省エネルギー効果を評価する,,,,,,,
,,,,,○,,,hw_ittai_sr2_heater_e,暖房部熱効率,「効率の入力(ガス潜熱回収型)」=2 or 3 ,,,87.0,0,100,decimal,1,%,
,,,,,○,,,hw_ittai_sr2_hotwater_e,給湯部 エネルギー消費効率,「効率の入力(ガス潜熱回収型)」=2,,,83.6,0,100,decimal,1,%,
,,,,,○,,,hw_ittai_sr2_hotwater_emode,給湯部 モード熱効率,「効率の入力(ガス潜熱回収型)」=3,,,83.6,0,100,decimal,1,%,
,,,,○,,,,hw_ittai_sr3_taisaku,効率の入力（石油従来型）,「熱源機（給湯・温水暖房一体型）の種類」=3,1,入力しない,,1,3,short,,,
,,,,,,,,,,,2,効率（暖房部：熱効率　給湯部：熱効率）を入力することにより省エネルギー効果を評価する,,,,,,,
,,,,,,,,,,,3,効率（暖房部：熱効率　給湯部：モード熱効率）を入力することにより省エネルギー効果を評価する,,,,,,,
,,,,,○,,,hw_ittai_sr3_heater_e,暖房部熱効率,「効率の入力（石油従来型）」=2 or 3 ,,,82.0,0,100,decimal,1,%,
,,,,,○,,,hw_ittai_sr3_hotwater_e,給湯部 熱効率,「効率の入力（石油従来型）」=2,,,77.9,0,100,decimal,1,%,
,,,,,○,,,hw_ittai_sr3_hotwater_emode,給湯部 モード熱効率,「効率の入力（石油従来型）」=3,,,77.9,,,,,,
,,,,○,,,,hw_ittai_sr4_taisaku,効率の入力（石油潜熱回収型）,「熱源機（給湯・温水暖房一体型）の種類」=4,1,入力しない,,1,3,short,,,
,,,,,,,,,,,2,効率（暖房部：熱効率　給湯部：熱効率）を入力することにより省エネルギー効果を評価する,,,,,,,
,,,,,,,,,,,3,効率（暖房部：熱効率　給湯部：モード熱効率）を入力することにより省エネルギー効果を評価する,,,,,,,
,,,,,○,,,hw_ittai_sr4_heater_e,暖房部熱効率,「効率の入力（石油潜熱回収型）」=2 or 3 ,,,82.0,0,100,decimal,1,%,
,,,,,○,,,hw_ittai_sr4_hotwater_e,給湯部 熱効率,「効率の入力（石油潜熱回収型）」=2,,,77.9,0,100,decimal,1,%,
,,,,,○,,,hw_ittai_sr4_hotwater_emode,給湯部 モード熱効率,「効率の入力（石油潜熱回収型）」=3,,,77.9,0,100,,1,,
,,,,○,,,,hw_ittai_sr6_kosei,熱源構成 ,「熱源機（給湯・温水暖房一体型）の種類」=6,1,暖房部：電気ヒートポンプ・ガス、給湯部：ガス,,1,5,short,,,
,,,,,,,,,,,2,暖房部：電気ヒートポンプ・ガス、給湯部：電気ヒートポンプ・ガス,,,,,,,
,,,,,,,,,,,3,,,,,,,,
,,,,,,,,,,,4,,,,,,,,
,,,,,,,,,,,5,暖房部：ガス、給湯部：電気ヒートポンプ・ガス,,,,,,,
,,,,,○,,,hw_ittai_sr6_kosei_sr1_tank,タンクユニットの設置場所 ,「熱源構成」=1,1,タンクユニットを屋内に設置する,,1,2,short,,,
,,,,,,,,,,,2,タンクユニットを屋外に設置する,,,,,,,
,,,,〇,,,,hw_ittai_sr6_kosei_sr5_package_input,電気ヒートポンプ・ガス併用型給湯機の指定,「熱源機（給湯・温水暖房一体型）の種類」=6,1,電気ヒートポンプ・ガス併用型給湯機の品番を入力する,-,1,2,short,,,
,,,,,,,,,,,2,電気ヒートポンプ・ガス併用型給湯機の品番を入力しない,,,,,,,
,,,,,〇,,,hw_ittai_sr6_kosei_sr5_package_id,電気ヒートポンプ・ガス併用型給湯機のパッケージID,「電気ヒートポンプ・ガス併用型給湯機の指定」=1,,,,,,short,,,
,,,,,〇,,,hw_ittai_sr6_kosei_sr5_coolant_type,冷媒の種類,「電気ヒートポンプ・ガス併用型給湯機の指定」=2,1,フロン系冷媒,,1,2,short,,,
,,,,,,,,,,,2,プロパン系冷媒,,,,,,,
,,,,,,〇,,hw_ittai_sr6_kosei_sr5_tank,タンク容量,「冷媒の種類」=1,1,タンク容量(小),,1,2,short,,,
,,,,,,,,,,,2,タンク容量(大),,,,,,,
,,,○,,,,,hw_other_name,その他の給湯設備機器の名称,「熱源機の分類」=8,,,-,,,text,,,
,,○,,,,,,hw_src_type,ふろ機能の種類,"「熱源機の分類」=6 or 8 or 
(11 and (熱源機(給湯専用型)の種類 = 1 or 2 or 3 or 4 or 7 or 8 or 9)) or 
(12 and 熱源機（給湯・温水暖房一体型）の種類 = 1 or 2 or 3 or 4 or 5 or (6 and 熱源構成 = 5)))",1,給湯単機能,3,1,3,short,,,
,,,,,,,,,,,2,ふろ給湯機（追焚なし）,,,,,,,
,,,,,,,,,,,3,ふろ給湯機（追焚あり）,,,,,,,
,,○,,,,,,hw_header_type,配管方式,「給湯設備の有無」=1,1,先分岐方式,1,1,2,short,,,
,,,,,,,,,,,2,ヘッダー方式,,,,,,,
,,,○,,,,,hw_pipesize,ヘッダー分岐後の配管径,「配管方式」=2,1,ヘッダー分岐後のすべての配管径が13A以下,-,1,2,short,,,
,,,,,,,,,,,2,ヘッダー分岐後のいずれかの配管径が13Aより大きい,,,,,,,
,,○,,,,,,hw_daidokoro_suisen,台所水栓,「給湯設備の有無」=1,1,2バルブ水栓,1,1,2,short,,,
,,,,,,,,,,,2,2バルブ水栓以外のその他の水栓,,,,,,,
,,,○,,,,,hw_daidokoro_temoto,手元止水機能,「水栓台所」=2,1,採用しない,-,1,2,short,,,
,,,,,,,,,,,2,採用する,,,,,,,
,,,○,,,,,hw_daidokoro_yusen,水優先吐水機能,「水栓台所」=2,1,採用しない,-,1,2,short,,,
,,,,,,,,,,,2,採用する,,,,,,,
,,○,,,,,,hw_shower_suisen,浴室シャワー水栓,「給湯設備の有無」=1,1,2バルブ水栓,1,1,2,short,,,
,,,,,,,,,,,2,2バルブ水栓以外のその他の水栓,,,,,,,
,,,○,,,,,hw_shower_temoto,手元止水機能,「浴室シャワー水栓」=2,1,採用しない,-,1,2,short,,,
,,,,,,,,,,,2,採用する,,,,,,,
,,,○,,,,,hw_shower_shoryuryo,小流量吐水機能,「浴室シャワー水栓」=2,1,採用しない,-,1,2,short,,,
,,,,,,,,,,,2,採用する,,,,,,,
,,○,,,,,,hw_senmen_suisen,洗面水栓,「給湯設備の有無」=1,1,2バルブ水栓,1,1,2,short,,,
,,,,,,,,,,,2,2バルブ水栓以外のその他の水栓,,,,,,,
,,,○,,,,,hw_senmen_yusen,水優先吐水機能,「洗面水栓」=2,1,採用しない,-,1,2,short,,,
,,,,,,,,,,,2,採用する,,,,,,,
,,○,,,,,,hw_yokuso_hoon,浴槽の保温措置,「給湯設備の有無」=1,1,設置しない,1,1,2,short,,,
,,,,,,,,,,,2,設置する,,,,,,,
,,〇,,,,,,,浴槽の節湯,「給湯設備の有無」=1,1,大きさを入力しない,,,,,,,
,,,,,,,,,,,2,大きさを入力する,,,,,,,
,,,〇,,,,,,浴槽の大きさ,「浴槽の節湯」=2 ,,,170,0,300,,0,L,
照明,○,,,,,,,ls_main_setti,主たる居室　設置の有無,,1,設置しない,1,1,2,short,,,
,,,,,,,,,,,2,設置する,,,,,,,
,,○,,,,,,ls_main_design,照明器具の種類,「主たる居室　設置の有無」=2,1,すべての機器においてLEDを使用している,-,1,3,short,,,
,,,,,,,,,,,2,すべての機器において白熱灯以外を使用している,,,,,,,
,,,,,,,,,,,3,いずれかの機器において白熱灯を使用している,,,,,,,
,,,○,,,,,ls_main_multi,多灯分散照明方式の採用,「照明器具の種類」=1 or 2,1,採用しない,-,1,2,short,,,
,,,,,,,,,,,2,採用する,,,,,,,
,,○,,,,,,ls_main_dimming,調光が可能な制御,「主たる居室　設置の有無」=2,1,採用する,-,1,2,short,,,
,,,,,,,,,,,2,採用しない,,,,,,,
,○,,,,,,,ls_general_setti,その他の居室　設置の有無,,1,設置しない,1,1,2,short,,,
,,,,,,,,,,,2,設置する,,,,,,,
,,○,,,,,,ls_general_device,照明器具の種類,「その他の居室　設置の有無」=2,1,すべての機器においてLEDを使用している,-,1,3,short,,,
,,,,,,,,,,,2,すべての機器において白熱灯以外を使用している,,,,,,,
,,,,,,,,,,,3,いずれかの機器において白熱灯を使用している,,,,,,,
,,○,,,,,,ls_general_dimming,調光が可能な制御,「その他の居室　設置の有無」=2,1,採用する,-,1,2,short,,,
,,,,,,,,,,,2,採用しない,,,,,,,
,○,,,,,,,ls_other_setti,非居室　設置の有無,,1,設置しない,1,1,2,short,,,
,,,,,,,,,,,2,設置する,,,,,,,
,,○,,,,,,ls_other_device,照明器具の種類,「非居室　設置の有無」=2,1,すべての機器においてLEDを使用している,-,1,3,short,,,
,,,,,,,,,,,2,すべての機器において白熱灯以外を使用している,,,,,,,
,,,,,,,,,,,3,いずれかの機器において白熱灯を使用している,,,,,,,
,,○,,,,,,ls_other_control,人感センサー,「非居室　設置の有無」=2,1,採用する,-,1,2,short,,,
,,,,,,,,,,,2,採用しない,,,,,,,
コージェネレーション,○,,,,,,,use_cogen,コージェネレーションの設置,,1,採用しない,1,1,3,short,,,
,,,,,,,,,,,2,採用する,,,,,,,
,,○,,,,,,cogen_type,コージェネレーションの方式,「コージェネレーションの設置」=2,1,PEFC(固体高分子形燃料電池),1,1,４,short,,,
,,,,,,,,,,,2,SOFC(固体酸化物形燃料電池),,,,,,,
,,,,,,,,,,,3,GEC(ガスエンジン),,,,,,,GECは当面非表示
,,,○,,,,,cogen_package_input,コージェネレーション機器の指定,"「コージェネレーションの方式」=1,2,3",1,コージェネレーション機器の品番を入力する,1,1,2,short,,,
,,,,,,,,,,,2,コージェネレーション機器の品番を入力しない,,,,,,,
,,,,,,,,,,,3,PEFC・SOFCに2015年度以前の評価方法またはGEC,,,,,,,
,,,,○,,,,cogen_pefc_package_id,コージェネレーション機器のパッケージID,「コージェネレーション機器の指定」=1 かつ 「コージェネレーションの方式」=1,,,,,,short,,,選択した方式の機器一覧から選択する
,,,,○,,,,cogen_sofc_package_id,コージェネレーション機器のパッケージID,「コージェネレーション機器の指定」=1 かつ 「コージェネレーションの方式」=2,,,,,,short,,,選択した方式の機器一覧から選択する
,,,,○,,,,cogen_gec_package_id,コージェネレーション機器のパッケージID,「コージェネレーション機器の指定」=1 かつ 「コージェネレーションの方式」=3,,,,,,short,,,選択した方式の機器一覧から選択する
,,,,〇,,,,cogen_houshiki,コージェネレーションの種類,「コージェネレーション機器の指定」=4,2,PEFC1,-,1,20000,short,,,
,,,,,,,,,,,3,PEFC2,,,,,,,
,,,,,,,,,,,4,PEFC3,,,,,,,
,,,,,,,,,,,5,PEFC4,,,,,,,
,,,,,,,,,,,6,PEFC5,,,,,,,
,,,,,,,,,,,7,SOFC1,,,,,,,
,,,,,,,,,,,8,SOFC2,,,,,,,
,,,,,,,,,,,9,GEC1,,,,,,,
,,,,,,,,,,,10,GEC2,,,,,,,
,,,,,,,,,,,11,PEFC6,,,,,,,
,,,,,,,,,,,99,値指定,,,,,,,
,,,,,,,,,,,101,PEFC（2016年度以降）,,,,,,,
,,,,,,,,,,,102,SOFC（2016年度以降）,,,,,,,
,,,,,,,,,,,103,GEC（2016年度以降）,,,,,,,
,,,,,,,,,,,10000,データベース指定,,,,,,,
太陽光発電,○,,,,,,,pv_saiyou,太陽光発電の採用,,2,太陽光発電を採用しない,2,1,2,short,,,
,,,,,,,,,,,1,太陽光発電を採用する,,,,,,,
,,○,,,,,,pv_panelsuu,方位の異なるパネル,「太陽光発電の採用」=2,1,1面,1,1,4,short,,,
,,,,,,,,,,,2,2面,,,,,,,
,,,,,,,,,,,3,3面,,,,,,,
,,,,,,,,,,,4,4面,,,,,,,
,,,○,,,,,pv_panel{x}_youryo,太陽電池アレイのシステム容量,「方位の異なるパネル」指定分繰り返し,,,2.00,0,99.99,decimal,2,,
,,,○,,,,,pv_panel{x}_shurui,太陽電池アレイの種類,「方位の異なるパネル」指定分繰り返し,1,結晶シリコン系太陽電池,-,1,2,short,,,
,,,,,,,,,,,2,結晶シリコン系以外の太陽電池,,,,,,,
,,,○,,,,,pv_panel{x}_setti,太陽電池アレイ設置方式,「方位の異なるパネル」指定分繰り返し,1,架台設置形,2,1,3,short,,,
,,,,,,,,,,,2,屋根置き形,,,,,,,
,,,,,,,,,,,3,その他,,,,,,,
,,,○,,,,,pv_panel{x}_houi,パネル設置方位方位角,「方位の異なるパネル」指定分繰り返し,1,真南から東および西へ15度未満,1,1,12,short,,,
,,,,,,,,,,,2,真南から東へ15度以上45度未満,,,,,,,
,,,,,,,,,,,3,真南から東へ45度以上75度未満,,,,,,,
,,,,,,,,,,,4,真南から東へ75度以上105度未満,,,,,,,
,,,,,,,,,,,5,真南から東へ105度以上135度未満,,,,,,,
,,,,,,,,,,,6,真南から東へ135度以上165度未満,,,,,,,
,,,,,,,,,,,7,真南から東および西へ165度以上真北まで,,,,,,,
,,,,,,,,,,,8,真南から西へ135度以上165度未満,,,,,,,
,,,,,,,,,,,9,真南から西へ105度以上135度未満,,,,,,,
,,,,,,,,,,,10,真南から西へ75度以上105度未満,,,,,,,
,,,,,,,,,,,11,真南から西へ45度以上75度未満,,,,,,,
,,,,,,,,,,,12,真南から西へ15度以上45度未満,,,,,,,
,,,○,,,,,pv_panel{x}_keisha,パネル設置角度傾斜角,「方位の異なるパネル」指定分繰り返し,1,0度（水平）,4,1,10,short,,,
,,,,,,,,,,,2,10度,,,,,,,
,,,,,,,,,,,3,20度,,,,,,,
,,,,,,,,,,,4,30度,,,,,,,
,,,,,,,,,,,5,40度,,,,,,,
,,,,,,,,,,,6,50度,,,,,,,
,,,,,,,,,,,7,60度,,,,,,,
,,,,,,,,,,,8,70度,,,,,,,
,,,,,,,,,,,9,80度,,,,,,,
,,,,,,,,,,,10,90度（鉛直）,,,,,,,
,,○,,,,,,pv_pcs_koritsu,パワーコンディショナの定格負荷効率の入力,「太陽光発電の採用」=2,1,入力しない,1,1,2,short,,,
,,,,,,,,,,,2,入力する,,,,,,,
,,,○,,,,,pv_pcs_koritsu_e,パワーコンディショナの定格負荷効率,「パワーコンディショナの定格負荷効率の入力」=2,,,92.8,90.00,99.99,decimal,2,%,
水生ゴミ,〇,,,,,,,wt_toilet_bowl,節水型機器の利用(手法1) 大便器,,1,6.0L,,,,,,,
,,,,,,,,,,,2,5.0L,,,,,,,
,,,,,,,,,,,3,4.0L,,,,,,,
,〇,,,,,,,wt_wash_machine,節水型機器の利用(手法1) 洗濯機,,1,100L縦型,,,,,,,
,,,,,,,,,,,2,70Lドラム型,,,,,,,
,〇,,,,,,,wt_dish_washer,節水型機器の利用(手法1) 食器洗浄機,,1,30L手洗い,,,,,,,
,,,,,,,,,,,2,10L食器洗浄機,,,,,,,
,〇,,,,,,,wt_reuse,雨水・排水再利用システムの採用(手法2) ,,1,採用しない,,,,,,,
,,,,,,,,,,,2,植栽散水等(方式1),,,,,,,
,,,,,,,,,,,3,植栽散水等+トイレ洗浄水(方式2),,,,,,,
,〇,,,,,,,wt_permeation_box,雨水浸透桝等の採用(手法3),,1,屋根面雨水を外部に排出し、敷地内を非透水性の材料で被覆(方式1),,,,,,,
,,,,,,,,,,,2,屋根面雨水を雨水浸透桝で処理し、敷地内を非透水性の材料で被覆(方式2),,,,,,,
,,,,,,,,,,,3,屋根面雨水を雨水浸透桝で処理し、敷地内を植栽または透水性の材料で被覆(方式3),,,,,,,
,〇,,,,,,,wt_trainage,排水の高度処理技術の採用,,1,採用しないまたは下水道整備地域である,,,,,,,
,,,,,,,,,,,2,合併処理浄化槽(手法1),,,,,,,
,,,,,,,,,,,3,窒素除去型合併処理浄化槽(手法2),,,,,,,
,,,,,,,,,,,4,高度処理型合併処理浄化槽(手法3),,,,,,,
,〇,,,,,,,wt_raw_garbage,生ごみの効率的処理技術の採用,,1,採用しない,,,,,,,
,,,,,,,,,,,2,コンポスト,,,,,,,
,,,,,,,,,,,3,家庭用生ゴミ処理機,,,,,,,
,,,,,,,,,,,4,ディスポーザ排水処理システム,,,,,,,
家電,〇,,,,,,,ap_fridge_age,冷蔵庫製造年代,,1,2001〜2006年の製品,,,,,,,
,,,,,,,,,,,2,2011年製,,,,,,,
,,,,,,,,,,,3,2009年製,,,,,,,
,,,,,,,,ap_tv_eco,テレビ ⼀般型・省エネ型の別,,1,一般型,,,,,,,
,,,,,,,,,,,2,省エネ型,,,,,,,
,,,,,,,,ap_tv_size,テレビ 画面サイズ,,1,60V,,,,,,,
,,,,,,,,,,,2,46V,,,,,,,
,,,,,,,,,,,3,37V,,,,,,,
,,,,,,,,,,,4,32V,,,,,,,
,,,,,,,,,,,5,26V,,,,,,,
,〇,,,,,,,ap_wc_seat_heater,温水便座 便座ヒーター,,1,非瞬間式,,,,,,,
,,,,,,,,,,,2,瞬間式,,,,,,,
,〇,,,,,,,ap_wc_water_heater,温水便座 洗浄水ヒーター,,1,貯湯式,,,,,,,
,,,,,,,,,,,2,瞬間式,,,,,,,
,〇,,,,,,,ap_drying_machine,洗濯機 乾燥機,,1,電気ヒーターなし,,,,,,,
,,,,,,,,,,,2,電気ヒーター乾燥機,,,,,,,
,,,,,,,,,,,3,電気ヒートポンプ乾燥機,,,,,,,
,〇,,,,,,,ap_electric_pot,電気ポット,,1,通常(湯沸かし+電気保温),,,,,,,
,,,,,,,,,,,2,真空魔法瓶(湯沸かし+電気保温),,,,,,,
,,,,,,,,,,,3,省エネタイプ真空魔法瓶(湯沸かし+電気保温),,,,,,,
,,,,,,,,,,,4,電気ケトル(湯沸かしのみ),,,,,,,
,,,,,,,,,,,,